What is the capital of France?,Paris,London,Berlin,Madrid,Paris,Paris is the capital of France.
What is the largest ocean on Earth?,Pacific,Atlantic,Indian,Arctic,Pacific,The Pacific Ocean is the largest ocean on Earth.
Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Claude Monet,Leonardo da Vinci,The Mona Lisa was painted by Leonardo da Vinci.
What year did the Titanic sink?,1912,1905,1923,1898,1912,The Titanic sank in 1912.
What is the chemical symbol for gold?,Au,Ag,Hg,Cu,Au,The chemical symbol for gold is Au.
Who wrote "To Kill a Mockingbird"?,Harper Lee,Mark Twain,John Steinbeck,Ernest Hemingway,Harper Lee,"To Kill a Mockingbird" was written by Harper Lee.
Which planet is known as the Red Planet?,Mars,Venus,Mercury,Jupiter,Mars,Mars is known as the Red Planet due to its reddish appearance.
Who discovered penicillin?,Alexander Fleming,Marie Curie,Albert Einstein,Isaac Newton,Alexander Fleming,Penicillin was discovered by Alexander Fleming.
What is the tallest mountain in the world?,Mount Everest,K2,Kangchenjunga,Lhotse,Mount Everest,Mount Everest is the tallest mountain in the world.
Who is credited with the theory of relativity?,Albert Einstein,Isaac Newton,Nikola Tesla,Stephen Hawking,Albert Einstein,Albert Einstein is credited with the theory of relativity.
Which country hosted the first modern Olympic Games?,Greece,France,USA,UK,Greece,Greece hosted the first modern Olympic Games in Athens in 1896.
Who is the author of the Harry Potter book series?,J.K. Rowling,J.R.R. Tolkien,C.S. Lewis,George R.R. Martin,J.K. Rowling,J.K. Rowling is the author of the Harry Potter book series.
What is the largest organ in the human body?,Skin,Heart,Liver,Brain,Skin,The skin is the largest organ in the human body.
Which element has the atomic number 6?,Carbon,Nitrogen,Oxygen,Hydrogen,Carbon,Carbon has the atomic number 6.
Who painted the famous painting "Starry Night"?,Vincent van Gogh,Pablo Picasso,Claude Monet,Leonardo da Vinci,Vincent van Gogh,"Starry Night" was painted by Vincent van Gogh.
In which city is the headquarters of the United Nations located?,New York City,Paris,London,Washington D.C.,New York City,The headquarters of the United Nations is located in New York City.
What is the currency of Japan?,Yen,Won,Dollar,Euro,Yen,The currency of Japan is the Yen.
Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,Marie Curie,Alexander Graham Bell,The telephone was invented by Alexander Graham Bell.
What is the largest desert in the world?,Sahara Desert,Gobi Desert,Arabian Desert,Kalahari Desert,Sahara Desert,The Sahara Desert is the largest desert in the world.
Who wrote the play "Romeo and Juliet"?,William Shakespeare,George Bernard Shaw,Oscar Wilde,Arthur Miller,William Shakespeare,"Romeo and Juliet" was written by William Shakespeare.
What is the chemical symbol for water?,H2O,CO2,O2,H2SO4,H2O,The chemical symbol for water is H2O.
What is the largest species of bear?,Polar Bear,Grizzly Bear,Black Bear,Brown Bear,Polar Bear,The Polar Bear is the largest species of bear.
